,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-7.86544E-03,-5.20000E+00,4.24000E+00,1.68000E+00,0.00000E+00
-7.86344E-03,-5.20000E+00,4.24000E+00,1.68000E+00,0.00000E+00
-7.86144E-03,-5.20000E+00,4.24000E+00,1.68000E+00,0.00000E+00
-7.85944E-03,-5.20000E+00,4.24000E+00,1.68000E+00,0.00000E+00
-7.85744E-03,-5.12000E+00,4.16000E+00,1.76000E+00,0.00000E+00
-7.85544E-03,-5.20000E+00,4.16000E+00,1.84000E+00,8.00000E-02
-7.85344E-03,-5.12000E+00,4.08000E+00,1.84000E+00,0.00000E+00
-7.85144E-03,-5.20000E+00,4.08000E+00,1.84000E+00,0.00000E+00
-7.84944E-03,-5.12000E+00,4.00000E+00,1.84000E+00,0.00000E+00
-7.84744E-03,-5.12000E+00,4.00000E+00,1.92000E+00,0.00000E+00
-7.84544E-03,-5.12000E+00,3.92000E+00,1.92000E+00,0.00000E+00
-7.84344E-03,-5.12000E+00,3.92000E+00,2.00000E+00,0.00000E+00
-7.84144E-03,-5.04000E+00,3.92000E+00,2.00000E+00,0.00000E+00
-7.83944E-03,-5.12000E+00,3.92000E+00,2.08000E+00,8.00000E-02
-7.83744E-03,-5.12000E+00,3.92000E+00,2.08000E+00,0.00000E+00
-7.83544E-03,-5.04000E+00,3.92000E+00,2.16000E+00,0.00000E+00
-7.83344E-03,-5.04000E+00,3.84000E+00,2.16000E+00,0.00000E+00
-7.83144E-03,-5.04000E+00,3.84000E+00,2.24000E+00,0.00000E+00
-7.82944E-03,-5.04000E+00,3.76000E+00,2.24000E+00,8.00000E-02
-7.82744E-03,-5.04000E+00,3.76000E+00,2.24000E+00,0.00000E+00
-7.82544E-03,-5.04000E+00,3.68000E+00,2.32000E+00,0.00000E+00
-7.82344E-03,-5.04000E+00,3.68000E+00,2.32000E+00,0.00000E+00
-7.82144E-03,-4.96000E+00,3.68000E+00,2.40000E+00,0.00000E+00
-7.81944E-03,-5.04000E+00,3.60000E+00,2.40000E+00,0.00000E+00
-7.81744E-03,-5.04000E+00,3.60000E+00,2.48000E+00,0.00000E+00
-7.81544E-03,-5.04000E+00,3.52000E+00,2.56000E+00,0.00000E+00
-7.81344E-03,-5.04000E+00,3.52000E+00,2.56000E+00,0.00000E+00
-7.81144E-03,-4.96000E+00,3.44000E+00,2.56000E+00,0.00000E+00
-7.80944E-03,-5.04000E+00,3.44000E+00,2.56000E+00,0.00000E+00
-7.80744E-03,-5.04000E+00,3.36000E+00,2.56000E+00,0.00000E+00
-7.80544E-03,-5.04000E+00,3.36000E+00,2.72000E+00,0.00000E+00
-7.80344E-03,-5.04000E+00,3.36000E+00,2.72000E+00,0.00000E+00
-7.80144E-03,-4.96000E+00,3.28000E+00,2.80000E+00,0.00000E+00
-7.79944E-03,-4.96000E+00,3.28000E+00,2.80000E+00,0.00000E+00
-7.79744E-03,-4.96000E+00,3.28000E+00,2.80000E+00,0.00000E+00
-7.79544E-03,-4.96000E+00,3.20000E+00,2.80000E+00,0.00000E+00
-7.79344E-03,-4.96000E+00,3.12000E+00,2.96000E+00,0.00000E+00
-7.79144E-03,-4.96000E+00,3.12000E+00,2.88000E+00,0.00000E+00
-7.78944E-03,-4.96000E+00,3.12000E+00,2.96000E+00,0.00000E+00
